Pct_2,Pct_1,Outcome,Net_immigration,Population,Populationdensity,GDHIPH,GGDHI,Taxes,Benefits,Median_age,0to10,10to20,20to30,30to40,40to50,50to60,60to70,70to80,80to90
28.61,71.39,1,5.8,100182,183,19399,2.655337228,4132.48,5180.57,44.5,12.46,10.43,11.59,10.91,13.28,13.47,13.08,8.81,5.37
35.03,64.97,1,1,64447,170,19101,1.086956522,3025.74,4158.46,36.6,15.2,9.57,15.96,13.22,10.77,11.7,10.45,7.01,4.29
41.42,58.58,1,1.5,85385,162,19578,-0.119474313,3513.5,4497.28,47.5,11.27,11.4,9.8,9.22,13.91,15.02,14.57,9.61,5.18
43.04,56.96,1,3.4,77990,470,17640,-0.505050505,2551.61,4103.09,49.4,10.68,9.63,9.04,9.87,13.43,15.34,14.45,10.88,6.83
43.15,56.85,1,2.4,201592,1420,15112,0.327653997,2271.92,4087.46,41.4,12.54,11.1,13.1,13.16,13.32,13.64,11.18,7.88,4.56
44.45,55.55,1,1.4,116501,971,19130,1.916932907,3974.21,4875.49,43.8,12.57,10.52,11.32,12.1,14.29,14.05,12.25,8.3,4.76
41.5,58.5,1,3.8,128488,3134,20487,0.152322925,3743.54,4498.47,38.5,14.63,11.58,13.29,13.29,14,12.92,9.75,6.52,3.87
36.14,63.86,1,2.3,85363,3415,19687,2.747252747,3467.54,4615.58,41.7,13.29,11.35,12.5,12.1,13.44,13.67,11.51,7.57,4.67
34.62,65.38,1,3.8,106808,1079,18453,1.135190918,2921.13,4288.07,39.2,14.81,11.66,12.56,12.69,14.06,12.67,9.9,6.87,4.18
28.5,71.5,1,1.7,99164,570,16411,0.806451613,2692.51,4134.56,45,12.43,10.94,11.57,10.54,12.39,13.31,13.58,9.53,5.5
55.59,44.41,2,6.2,279766,5952,21802,2.873563218,4435.85,4946.99,34.2,16.42,11.05,16.4,18.06,14.01,10.51,6.8,4.06,2.42
56.17,43.83,2,1.5,148020,546,29223,1.466067628,6951.76,5708.69,37.4,12.46,12.66,16.28,12.34,13.26,12.11,9.54,6.31,4.2
78.48,21.52,2,9,273526,14396,20175,4.690467148,2657.88,4540.7,32.3,15.4,10.27,20.33,22.86,12.59,8.78,5.14,2.88,1.6
42.58,57.42,1,1,126903,1606,15396,1.030927835,2182.77,3900.62,40.9,14.2,11.39,12.44,12.33,13.69,13.85,12.12,6.76,3.5
46.34,53.66,1,1.6,90537,69,20397,1.260273973,3125.79,4329.72,48.4,11.15,10.08,9.6,9.55,13.66,15.55,14.31,10.38,5.72
